,GEOID,Median Income
359,15000US060014214002,139583.0
360,15000US060014215001,177813.0
361,15000US060014215002,155139.0
362,15000US060014215003,151389.0
363,15000US060014216001,103438.0
364,15000US060014216002,140600.0
365,15000US060014216003,128125.0
366,15000US060014216004,119844.0
367,15000US060014217001,90341.0
368,15000US060014217002,64076.0
369,15000US060014217003,51319.0
370,15000US060014218001,95250.0
371,15000US060014218002,120694.0
372,15000US060014219001,84125.0
373,15000US060014219002,107744.0
374,15000US060014219003,111781.0
375,15000US060014219004,90972.0
376,15000US060014220001,77500.0
377,15000US060014220002,26667.0
378,15000US060014221001,56722.0
379,15000US060014221002,75236.0
380,15000US060014222001,92083.0
381,15000US060014222002,49318.0
382,15000US060014222003,66744.0
383,15000US060014223001,62941.0
384,15000US060014223002,67361.0
385,15000US060014223003,52069.0
386,15000US060014224001,41016.0
387,15000US060014224002,56651.0
388,15000US060014224003,60106.0
389,15000US060014225001,86875.0
390,15000US060014225002,70625.0
391,15000US060014225003,33594.0
392,15000US060014226001,250001.0
393,15000US060014227001,50170.0
394,15000US060014227002,
395,15000US060014227003,24083.0
396,15000US060014228001,10673.0
397,15000US060014228002,
398,15000US060014228003,16889.0
399,15000US060014229001,18587.0
400,15000US060014229002,26090.0
401,15000US060014230001,60288.0
402,15000US060014230002,96429.0
403,15000US060014230003,56944.0
404,15000US060014231001,41492.0
405,15000US060014231002,64083.0
406,15000US060014231003,76935.0
407,15000US060014231004,66776.0
408,15000US060014232001,48250.0
409,15000US060014232002,79500.0
410,15000US060014233001,83796.0
411,15000US060014233002,51836.0
412,15000US060014233003,88661.0
413,15000US060014234001,88864.0
414,15000US060014234002,59375.0
415,15000US060014234003,65938.0
416,15000US060014234004,79609.0
417,15000US060014235001,27857.0
418,15000US060014235002,50688.0
419,15000US060014235003,61400.0
420,15000US060014236011,71964.0
421,15000US060014236012,108214.0
422,15000US060014236021,29091.0
423,15000US060014236022,23491.0
424,15000US060014236023,30268.0
425,15000US060014237001,
426,15000US060014237002,107125.0
427,15000US060014237003,64750.0
428,15000US060014238001,183237.0
429,15000US060014238002,215625.0
430,15000US060014238003,76667.0
431,15000US060014239011,71250.0
432,15000US060014239012,63906.0
433,15000US060014239021,97813.0
434,15000US060014239022,68958.0
435,15000US060014240011,44569.0
436,15000US060014240012,87450.0
437,15000US060014240013,46979.0
438,15000US060014240014,29805.0
439,15000US060014240021,52500.0
440,15000US060014240022,70417.0
441,15000US060014251011,44125.0
442,15000US060014251012,70500.0
443,15000US060014251021,84479.0
444,15000US060014251022,106941.0
445,15000US060014251023,51286.0
446,15000US060014251031,101750.0
447,15000US060014251032,128750.0
448,15000US060014251033,71629.0
449,15000US060014251041,61029.0
450,15000US060014251042,54593.0
451,15000US060014261001,205547.0
452,15000US060014261002,232639.0
453,15000US060014261003,250001.0
454,15000US060014261004,182031.0
455,15000US060014261005,250001.0
456,15000US060014261006,211402.0
457,15000US060014262001,161923.0
458,15000US060014262002,222143.0
459,15000US060014262003,121607.0
460,15000US060014271001,87232.0
461,15000US060014271002,120714.0
462,15000US060014271003,133750.0
463,15000US060014272001,70764.0
464,15000US060014272002,66406.0
465,15000US060014272003,61372.0
466,15000US060014272004,82750.0
467,15000US060014272005,
468,15000US060014273001,63958.0
469,15000US060014273002,125368.0
470,15000US060014273003,89583.0
471,15000US060014273004,43750.0
472,15000US060014273005,45481.0
473,15000US060014276001,54289.0
474,15000US060014276002,42538.0
475,15000US060014276003,41071.0
476,15000US060014277001,70239.0
477,15000US060014277002,84375.0
478,15000US060014277003,74500.0
479,15000US060014277004,116250.0
480,15000US060014278001,151823.0
481,15000US060014278002,107981.0
482,15000US060014278003,98214.0
483,15000US060014278004,70602.0
484,15000US060014278005,82220.0
485,15000US060014279001,84615.0
486,15000US060014279002,87045.0
487,15000US060014279003,80739.0
488,15000US060014279004,
489,15000US060014279005,80259.0
490,15000US060014280001,61250.0
491,15000US060014280002,68883.0
492,15000US060014281001,93036.0
493,15000US060014281002,143359.0
494,15000US060014281003,93750.0
495,15000US060014281004,45069.0
496,15000US060014282001,121047.0
497,15000US060014282002,81713.0
498,15000US060014282003,41641.0
499,15000US060014282004,62847.0
500,15000US060014282005,145592.0
501,15000US060014283011,95438.0
502,15000US060014283012,95972.0
503,15000US060014283013,125000.0
504,15000US060014283014,159261.0
505,15000US060014283021,120357.0
506,15000US060014283022,105756.0
507,15000US060014283023,136250.0
508,15000US060014284001,84798.0
509,15000US060014284002,62000.0
510,15000US060014284003,69679.0
511,15000US060014285001,66298.0
512,15000US060014285002,82614.0
513,15000US060014286001,79600.0
514,15000US060014286002,60754.0
515,15000US060014286003,96852.0
516,15000US060014287001,71563.0
517,15000US060014287002,33438.0
518,15000US060014301011,94625.0
519,15000US060014301012,136250.0
520,15000US060014301013,123945.0
521,15000US060014301021,117583.0
522,15000US060014302001,157143.0
523,15000US060014302002,121886.0
524,15000US060014302003,83889.0
525,15000US060014302004,106375.0
526,15000US060014302005,98691.0
527,15000US060014303001,110238.0
528,15000US060014303002,111042.0
529,15000US060014303003,110250.0
530,15000US060014304001,122031.0
531,15000US060014304002,110375.0
532,15000US060014305001,103800.0
533,15000US060014305002,48188.0
534,15000US060014305003,56994.0
535,15000US060014306001,100625.0
536,15000US060014306002,51009.0
537,15000US060014306003,92000.0
538,15000US060014306004,112391.0
539,15000US060014307001,98281.0
540,15000US060014307002,97939.0
541,15000US060014307003,101250.0
542,15000US060014308001,95234.0
543,15000US060014308002,118795.0
544,15000US060014308003,73829.0
545,15000US060014308004,61186.0
546,15000US060014309001,71790.0
547,15000US060014309002,45273.0
548,15000US060014310001,50667.0
549,15000US060014310002,74554.0
550,15000US060014311001,67778.0
551,15000US060014311002,46538.0
552,15000US060014312001,65134.0
553,15000US060014312002,52051.0
554,15000US060014312003,67051.0
555,15000US060014321001,90673.0
556,15000US060014321002,77321.0
557,15000US060014321003,129500.0
558,15000US060014322001,44009.0
559,15000US060014322002,75972.0
560,15000US060014322003,59643.0
561,15000US060014323001,75379.0
562,15000US060014323002,58000.0
563,15000US060014323003,99306.0
564,15000US060014324001,55972.0
565,15000US060014324002,70938.0
566,15000US060014324003,53125.0
567,15000US060014325011,68594.0
568,15000US060014325012,64205.0
569,15000US060014325013,54219.0
570,15000US060014325021,71563.0
571,15000US060014325022,56071.0
572,15000US060014325023,60116.0
573,15000US060014326001,70156.0
574,15000US060014326002,50938.0
575,15000US060014326003,67115.0
576,15000US060014326004,
577,15000US060014326005,56080.0
578,15000US060014327001,118333.0
579,15000US060014327002,71250.0
580,15000US060014327003,75139.0
581,15000US060014328001,172222.0
582,15000US060014328002,92000.0
583,15000US060014328003,75774.0
584,15000US060014330001,73281.0
585,15000US060014330002,59922.0
586,15000US060014330003,65664.0
587,15000US060014330004,67361.0
588,15000US060014331021,65682.0
589,15000US060014331022,91691.0
590,15000US060014331031,50714.0
591,15000US060014331032,37198.0
592,15000US060014331041,42841.0
593,15000US060014331042,41280.0
594,15000US060014331043,51086.0
595,15000US060014332001,52857.0
596,15000US060014332002,58780.0
597,15000US060014332003,37119.0
598,15000US060014332004,70750.0
599,15000US060014333001,81012.0
600,15000US060014333002,65478.0
601,15000US060014333003,63864.0
602,15000US060014333004,47111.0
603,15000US060014333005,88083.0
604,15000US060014334001,77661.0
605,15000US060014334002,60906.0
606,15000US060014334003,64342.0
607,15000US060014334004,104408.0
608,15000US060014334005,118243.0
609,15000US060014334006,68214.0
610,15000US060014335001,66563.0
611,15000US060014335002,83594.0
612,15000US060014335003,92981.0
613,15000US060014335004,79808.0
614,15000US060014336001,77716.0
615,15000US060014336002,47146.0
616,15000US060014336003,76023.0
617,15000US060014336004,47596.0
618,15000US060014337001,70395.0
619,15000US060014337002,75446.0
620,15000US060014337003,58214.0
621,15000US060014338001,55583.0
622,15000US060014338002,36481.0
623,15000US060014338003,50982.0
624,15000US060014338004,106442.0
625,15000US060014339001,41578.0
626,15000US060014339002,36842.0
627,15000US060014339003,39688.0
628,15000US060014339004,40989.0
629,15000US060014340001,39792.0
630,15000US060014340002,57083.0
631,15000US060014340003,24500.0
632,15000US060014351021,105882.0
633,15000US060014351022,130040.0
634,15000US060014351031,193333.0
635,15000US060014351032,142891.0
636,15000US060014351033,181469.0
637,15000US060014351041,62163.0
638,15000US060014351042,48049.0
639,15000US060014351043,47000.0
640,15000US060014352001,88750.0
641,15000US060014352002,99964.0
642,15000US060014353001,113086.0
643,15000US060014353002,56280.0
644,15000US060014353003,75556.0
645,15000US060014354001,46574.0
646,15000US060014354002,43611.0
647,15000US060014354003,82813.0
648,15000US060014355001,41688.0
649,15000US060014355002,64881.0
650,15000US060014355003,24073.0
651,15000US060014356011,53542.0
652,15000US060014356012,53618.0
653,15000US060014356021,55268.0
654,15000US060014356022,68750.0
655,15000US060014356023,66094.0
656,15000US060014356024,52663.0
657,15000US060014357001,64301.0
658,15000US060014357002,99639.0
659,15000US060014357003,86250.0
660,15000US060014357004,74191.0
661,15000US060014358001,78750.0
662,15000US060014358002,64545.0
663,15000US060014358003,94444.0
664,15000US060014358004,58462.0
665,15000US060014359001,97578.0
666,15000US060014359002,100766.0
667,15000US060014359003,74519.0
668,15000US060014359004,90660.0
669,15000US060014360001,101250.0
670,15000US060014360002,73902.0
671,15000US060014360003,80515.0
672,15000US060014361001,87250.0
673,15000US060014361002,77955.0
674,15000US060014361003,69375.0
675,15000US060014362001,38750.0
676,15000US060014362002,61395.0
677,15000US060014363001,31402.0
678,15000US060014363002,70329.0
679,15000US060014363003,49531.0
680,15000US060014363004,107000.0
681,15000US060014364011,110391.0
682,15000US060014364012,89135.0
683,15000US060014364013,65341.0
684,15000US060014364014,70184.0
685,15000US060014364015,
686,15000US060014364021,122952.0
687,15000US060014364022,121463.0
688,15000US060014365001,46346.0
689,15000US060014365002,62917.0
690,15000US060014366011,58194.0
691,15000US060014366012,67340.0
692,15000US060014366013,60192.0
693,15000US060014366021,40323.0
694,15000US060014366022,45625.0
695,15000US060014367001,117344.0
696,15000US060014367002,71316.0
697,15000US060014368001,51375.0
698,15000US060014368002,89079.0
699,15000US060014369001,55000.0
700,15000US060014369002,72554.0
701,15000US060014369003,75962.0
702,15000US060014369004,53597.0
703,15000US060014370001,66838.0
704,15000US060014370002,90850.0
705,15000US060014370003,70769.0
706,15000US060014371011,129653.0
707,15000US060014371012,95167.0
708,15000US060014371013,61591.0
709,15000US060014371021,27188.0
710,15000US060014371022,90801.0
711,15000US060014371023,86706.0
712,15000US060014372001,65574.0
