,Median Income
1162,88973.0
1163,62656.0
1164,89490.0
1165,50972.0
1166,119464.0
1167,40583.0
1168,45672.0
1169,44671.0
1170,53167.0
1171,52917.0
1172,47875.0
1173,62969.0
1174,56563.0
1175,29398.0
1176,40492.0
1177,63571.0
1178,27454.0
1179,44453.0
1180,56536.0
1181,60694.0
1182,56023.0
1183,60913.0
1184,48289.0
1185,57857.0
1186,42159.0
1187,61389.0
1188,45385.0
1189,69417.0
1190,43897.0
1191,36635.0
1192,29605.0
1193,41875.0
1194,66172.0
1195,55500.0
1196,30875.0
1197,56964.0
1198,58566.0
1199,52426.0
1200,40694.0
1201,41833.0
1202,41750.0
1203,37617.0
1204,56250.0
1205,38839.0
1206,24688.0
1207,32398.0
1208,37500.0
1209,31250.0
1210,57174.0
1211,32801.0
1212,26705.0
1213,38662.0
1214,60288.0
1215,42500.0
1216,52031.0
1217,42888.0
1218,41602.0
1219,41205.0
1220,47025.0
1221,41275.0
1222,60490.0
1223,54338.0
1224,38722.0
1225,77375.0
1226,37702.0
1227,11923.0
1228,20074.0
1229,19392.0
1230,34696.0
1231,52760.0
1232,40733.0
1233,34760.0
1234,29808.0
1235,25729.0
1236,22500.0
1237,27857.0
1238,42969.0
1239,39375.0
1240,
1241,50833.0
1242,37045.0
1243,51182.0
1244,41000.0
1245,25709.0
1246,43750.0
1247,40278.0
1248,52981.0
1249,41333.0
1250,34559.0
1251,37250.0
1252,55156.0
1253,82850.0
1254,35417.0
1255,34219.0
1256,71763.0
1257,46250.0
1258,21973.0
1259,50991.0
1260,38182.0
1261,44250.0
1262,51767.0
1263,78083.0
1264,40241.0
1265,26729.0
1266,30000.0
1267,31250.0
1268,68036.0
1269,61619.0
1270,43158.0
1271,43397.0
1272,
1273,33125.0
1274,63618.0
1275,83000.0
1276,79101.0
1277,90363.0
1278,41597.0
1279,61131.0
1280,76635.0
1281,45284.0
1282,47696.0
1283,37551.0
1284,35702.0
1285,34200.0
1286,28088.0
1287,38750.0
1288,29097.0
1289,30117.0
1290,47656.0
1291,46750.0
1292,55438.0
1293,83906.0
1294,68882.0
1295,33333.0
1296,33309.0
1297,
1298,51397.0
1299,79844.0
1300,60813.0
1301,65950.0
1302,31489.0
1303,67813.0
1304,62528.0
1305,94250.0
1306,31210.0
1307,76205.0
1308,60000.0
1309,44223.0
1310,53787.0
1311,62500.0
1312,45924.0
1313,41471.0
1314,38409.0
1315,53429.0
1316,54821.0
1317,44087.0
1318,42727.0
1319,34348.0
1320,84643.0
1321,28259.0
1322,67063.0
